,ticker
143,NAVINFLUOR
144,NAM-INDIA
145,OBEROIRLTY
146,OIL
147,PAGEIND
148,PERSISTENT
149,PETRONET
150,PHOENIXLTD
151,POLYCAB
152,PRESTIGE
153,RBLBANK
154,RAJESHEXPO
155,RELAXO
156,SKFINDIA
157,SRF
158,SCHAEFFLER
159,SOLARINDS
160,SONACOMS
161,SUMICHEM
162,SUNTV
163,SUNDARMFIN
164,SUNDRMFAST
165,SUPREMEIND
166,SUVENPHAR
167,SYNGENE
168,TTKPRESTIG
169,TVSMOTOR
170,TATACHEM
171,TATACOMM
172,TATAELXSI
173,NIACL
174,RAMCOCEM
175,THERMAX
176,TORNTPOWER
177,TRENT
178,TIINDIA
179,UNIONBANK
180,VAIBHAVGBL
181,VBL
182,VINATIORGA
183,VOLTAS
184,WABCOINDIA
185,ZEEL
186,ZYDUSWELL
187,ACC
188,ADANIENT
189,ADANIPORTS
190,APOLLOHOSP
191,ASIANPAINT
192,AUROPHARMA
193,DMART
194,BAJAJ-AUTO
195,BANDHANBNK
196,BANKBARODA
197,BERGEPAINT
198,BHARTIARTL
199,BIOCON
200,CADILAHC
201,CIPLA
202,COALINDIA
203,DLF
204,DABUR
205,DIVISLAB
206,DRREDDY
207,EICHERMOT
208,GODREJCP
209,GRASIM
210,HCLTECH
211,HAVELLS
212,HEROMOTOCO
213,HINDALCO
214,HINDPETRO
215,ITC
216,IGL
217,INDUSTOWER
218,INDUSINDBK
219,NAUKRI
220,INFY
221,INDIGO
222,JSWSTEEL
223,JINDALSTEL
224,JUBLFOOD
225,LTI
226,LT
227,LUPIN
228,M&M
229,MARICO
230,MUTHOOTFIN
231,NMDC
232,PIIND
233,PIDILITIND
234,PNB
235,SBICARD
236,SHREECEM
237,SAIL
238,SUNPHARMA
239,TCS
240,TATACONSUM
241,TATAMOTORS
242,TATASTEEL
243,TECHM
244,TITAN
245,TORNTPHARM
246,UPL
247,ULTRACEMCO
248,WIPRO
249,YESBANK
250,ABINFRA
251,AAATECH
252,AISL
253,ASLIND
