ticker,date,price,target,stop loss
DEEPAKNTR,2022-01-13,2634.39990234375,3277.349853515625,2467.5
SUNDRMFAST,2022-01-13,909.5499877929688,1064.0,859.0
HINDALCO,2022-01-13,497.95001220703125,591.7000122070312,469.1000061035156
CENTURYTEX,2022-01-13,989.9000244140625,1795.3000183105469,861.9000244140625
WELCORP,2022-01-13,184.8000030517578,219.3000030517578,174.3000030517578
SUZLON,2022-01-13,12.25,22.799999952316284,9.300000190734863
PRSMJOHNSN,2022-01-13,151.39999389648438,284.6999931335449,119.39999389648438
JAGRAN,2022-01-13,71.6500015258789,111.9000015258789,60.55000305175781
DEEPAKFERT,2022-01-13,486.45001220703125,925.0367736816406,364.95001220703125
HCLTECH,2022-01-17,1337.199951171875,1606.5999755859375,1254.7999267578125
WELCORP,2022-01-17,190.39999389648438,330.29998779296875,171.5
INSECTICID,2022-01-17,712.9000244140625,860.6000366210938,672.2000122070312
LUMAXTECH,2022-01-17,188.0,329.99999237060547,155.95001220703125
MARUTI,2022-01-19,7915.14990234375,12282.9501953125,6966.24951171875
GALAXYSURF,2022-01-19,3134.5,3643.5,3013.550048828125
CCL,2022-01-19,432.25,571.1000061035156,393.4499816894531
RAYMOND,2022-01-19,734.4000244140625,1318.0,554.0000610351562
ARVIND,2022-01-19,147.3000030517578,285.9499969482422,108.60000610351562
LUMAXTECH,2022-01-19,198.3000030517578,360.2000045776367,146.35000610351562
MARUTI,2022-01-19,7915.14990234375,12282.9501953125,6966.24951171875
GALAXYSURF,2022-01-19,3134.5,3643.5,3013.550048828125
CCL,2022-01-19,432.25,571.1000061035156,393.4499816894531
RAYMOND,2022-01-19,734.4000244140625,1318.0,554.0000610351562
ARVIND,2022-01-19,147.3000030517578,285.9499969482422,108.60000610351562
LUMAXTECH,2022-01-19,198.3000030517578,360.2000045776367,146.35000610351562
MARUTI,2022-01-20,8015.7001953125,12383.50048828125,7066.7998046875
IDFC,2022-01-20,64.75,117.5,58.599998474121094
CCL,2022-01-20,436.20001220703125,575.0500183105469,397.3999938964844
RAYMOND,2022-01-20,758.9500122070312,1343.9500122070312,577.1500244140625
NETWORK18,2022-01-20,90.69999694824219,114.80000305175781,84.14999389648438
APARINDS,2022-01-20,807.75,1408.7000274658203,717.5499877929688
HBLPOWER,2022-01-20,69.69999694824219,130.94999980926514,60.44999313354492
INSECTICID,2022-01-20,723.2000122070312,870.9000244140625,682.5
NRBBEARING,2022-01-20,170.25,311.9499969482422,142.35000610351562
CCL,2022-01-21,443.8999938964844,585.3999938964844,402.4499816894531
CENTURYTEX,2022-01-21,970.8499755859375,1776.2499694824219,842.8499755859375
MINDACORP,2022-01-21,207.5,368.75,164.0500030517578
ARVIND,2022-01-21,142.3000030517578,280.9499969482422,103.60000610351562
HBLPOWER,2022-01-21,70.25,133.39999675750732,59.10000228881836
RUPA,2022-01-21,548.2000122070312,1002.7000122070312,423.95001220703125
ABB,2022-01-22,2356.75,2560.39990234375,2293.199951171875
CHOLAFIN,2022-01-22,654.1500244140625,799.550048828125,620.4000244140625
HAL,2022-01-22,1418.1500244140625,1662.949951171875,1352.300048828125
OIL,2022-01-22,221.14999389648438,256.6499938964844,212.64999389648438
THERMAX,2022-01-22,2027.75,2306.0999755859375,1979.75
VINATIORGA,2022-01-22,2125.60009765625,2283.60009765625,2082.60009765625
ADANIENT,2022-01-22,1828.3499755859375,2025.75,1766.0999755859375
ICICIBANK,2022-01-22,804.5,872.8499755859375,788.6500244140625
NTPC,2022-01-22,134.10000610351562,145.50001525878906,130.5500030517578
PIDILITIND,2022-01-22,2700.60009765625,2945.60009765625,2651.050048828125
SBIN,2022-01-22,502.70001220703125,550.1000061035156,493.20001220703125
JUSTDIAL,2022-01-22,936.3499755859375,1105.8999633789062,880.5999755859375
KNRCON,2022-01-22,315.04998779296875,347.25,307.0999755859375
SIS,2022-01-22,517.6500244140625,601.6500244140625,495.9000244140625
JSLHISAR,2022-01-22,399.6499938964844,458.4499816894531,383.1000061035156
HSCL,2022-01-22,59.29999923706055,78.3499984741211,53.400001525878906
COSMOFILMS,2022-01-22,1825.199951171875,2323.199951171875,1703.199951171875
JBMA,2022-01-22,1631.25,2173.949951171875,1532.75
RUPA,2022-01-22,533.2000122070312,663.5499877929688,497.10003662109375
TEXRAIL,2022-01-22,40.79999923706055,50.85000038146973,37.89999771118164
ABB,2022-01-23,2356.75,2560.39990234375,2293.199951171875
CHOLAFIN,2022-01-23,654.1500244140625,799.550048828125,620.4000244140625
HAL,2022-01-23,1418.1500244140625,1662.949951171875,1352.300048828125
OIL,2022-01-23,221.14999389648438,256.6499938964844,212.64999389648438
THERMAX,2022-01-23,2027.75,2306.0999755859375,1979.75
VINATIORGA,2022-01-23,2125.60009765625,2283.60009765625,2082.60009765625
ADANIENT,2022-01-23,1828.3499755859375,2025.75,1766.0999755859375
ICICIBANK,2022-01-23,804.5,872.8499755859375,788.6500244140625
NTPC,2022-01-23,134.10000610351562,145.50001525878906,130.5500030517578
PIDILITIND,2022-01-23,2700.60009765625,2945.60009765625,2651.050048828125
SBIN,2022-01-23,502.70001220703125,550.1000061035156,493.20001220703125
JUSTDIAL,2022-01-23,936.3499755859375,1105.8999633789062,880.5999755859375
KNRCON,2022-01-23,315.04998779296875,347.25,307.0999755859375
SIS,2022-01-23,517.6500244140625,601.6500244140625,495.9000244140625
JSLHISAR,2022-01-23,399.6499938964844,458.4499816894531,383.1000061035156
HSCL,2022-01-23,59.29999923706055,78.3499984741211,53.400001525878906
COSMOFILMS,2022-01-23,1825.199951171875,2323.199951171875,1703.199951171875
JBMA,2022-01-23,1631.25,2173.949951171875,1532.75
RUPA,2022-01-23,533.2000122070312,663.5499877929688,497.10003662109375
TEXRAIL,2022-01-23,40.79999923706055,50.85000038146973,37.89999771118164
BANDHANBNK,2022-01-26,324.1499938964844,400.9499969482422,301.6499938964844
ICICIBANK,2022-01-26,801.6500244140625,862.9500122070312,783.4000244140625
SUZLON,2022-01-26,11.0,12.84999942779541,10.40000057220459
JINDWORLD,2022-01-26,324.3999938964844,435.29998779296875,295.5
AAVAS,2022-01-29,2878.199951171875,3457.89990234375,2768.199951171875
ATGL,2022-01-29,1830.9000244140625,2010.7999267578125,1776.10009765625
BANKBARODA,2022-01-29,103.30000305175781,128.20000457763672,99.55000305175781
CANBK,2022-01-29,238.89999389648438,284.1999816894531,231.5500030517578
FEDERALBNK,2022-01-29,100.19999694824219,120.0,97.04999542236328
HAL,2022-01-29,1417.0999755859375,1676.0499267578125,1351.5
INDHOTEL,2022-01-29,207.3000030517578,241.0500030517578,197.5
UNIONBANK,2022-01-29,47.04999923706055,54.79999923706055,44.70000076293945
ADANITRANS,2022-01-29,1986.800048828125,2361.800048828125,1871.800048828125
IOC,2022-01-29,124.0999984741211,139.8000030517578,120.3499984741211
NTPC,2022-01-29,140.14999389648438,159.4499969482422,134.14999389648438
ONGC,2022-01-29,168.8000030517578,202.3000030517578,160.35000610351562
PNB,2022-01-29,40.849998474121094,46.0,39.14999771118164
SBIN,2022-01-29,523.4500122070312,599.7500305175781,508.45001220703125
IDFC,2022-01-29,64.05000305175781,71.05000305175781,62.05000305175781
DCMSHRIRAM,2022-01-29,1127.699951171875,1342.699951171875,1071.699951171875
EIHOTEL,2022-01-29,136.35000610351562,153.00000762939453,131.10000610351562
PHILIPCARB,2022-01-29,246.5,274.54998779296875,240.20001220703125
GHCL,2022-01-29,436.70001220703125,521.6000061035156,409.0500183105469
IIFL,2022-01-29,316.04998779296875,368.04998779296875,299.04998779296875
GAEL,2022-01-29,208.64999389648438,272.59999084472656,187.34999084472656
UCOBANK,2022-01-29,13.449999809265137,14.449999809265137,13.199999809265137
IOB,2022-01-29,21.200000762939453,23.200000762939453,20.600000381469727
INGERRAND,2022-01-29,1426.3499755859375,1783.699951171875,1334.6500244140625
GMDCLTD,2022-01-29,119.94999694824219,168.5999984741211,113.19999694824219
MMTC,2022-01-29,55.599998474121094,68.64999771118164,53.04999923706055
ASAHIINDIA,2022-01-29,569.75,680.9500122070312,545.7000122070312
INFIBEAM,2022-01-29,46.70000076293945,54.500003814697266,44.349998474121094
SHARDACROP,2022-01-29,601.7000122070312,876.2000122070312,517.7000122070312
PSB,2022-01-29,17.25,19.250000953674316,16.649999618530273
BAJAJHIND,2022-01-29,17.0,19.5,16.600000381469727
DEEPAKFERT,2022-01-29,542.6500244140625,712.800048828125,520.1500244140625
