INOXWIND,2
INSECTICID,7
JBCHEPHARM,7
INTELLECT,7
ISGEC,5
JKIL,7
JBMA,7
JKLAKSHMI,8
JKPAPER,6
JMCPROJECT,5
JKTYRE,9
JTEKTINDIA,7
JSWISPL,8
JMFINANCIL,7
JAGRAN,6
JAICORPLTD,3
JPASSOCIAT,6
J&KBANK,3
JPPOWER,8
JAMNAAUTO,8
JINDALPOLY,8
JINDALSAW,8
JSLHISAR,6
JSL,8
JINDWORLD,7
JCHAC,6
JUSTDIAL,5
JUBLPHARMA,8
JYOTHYLAB,8
KPRMILL,9
KCP,8
KEI,5
KPITTECH,7
KNRCON,5
KRBL,6
KSB,6
KALPATPOWR,8
KALYANKJIL,4
KSL,6
KTKBANK,9
KSCL,8
KARURVYSYA,7
KEC,7
KIRIINDUS,5
KIRLOSBROS,7
KIRLFER,7
KIRLOSENG,5
KOLTEPATIL,3
DAAWAT,9
LAOPALA,5
LGBBROSLTD,9
LAXMIMACH,7
LXCHEM,7
LEMONTREE,3
LUMAXTECH,8
LUXIND,7
MASFIN,3
MMTC,4
MOIL,8
MSTCLTD,6
MTARTECH,5
MTNL,4
MAHSCOOTER,3
MAHSEAMLES,8
MHRIL,4
MAHINDCIE,7
MAHLIFE,1
MAITHANALL,5
MAHLOG,5
MANINFRA,8
MRPL,4
MARKSANS,7
MAYURUNIQ,6
MATRIMONY,6
MAZDOCK,4
MASTEK,7
MINDACORP,7
MIDHANI,7
MOLDTKPAC,8
MOREPENLAB,8
BECTORFOOD,7
MCX,4
NBCC,6
NCC,7
NEOGEN,6
NESCO,5
NIITLTD,7
NOCIL,5
NLCINDIA,7
NRBBEARING,7
NH,4
NFL,7
NBVENTURES,7
NAVNETEDUL,7
NAZARA,7
NETWORK18,8
NEWGEN,7
NEULANDLAB,8
NILKAMAL,6
NOVARTIND,4
NUCLEUS,5
OLECTRA,7
ORIENTCEM,7
ORIENTELEC,7
OAL,6
ORISSAMINE,0
PCJEWELLER,6
OCCL,5
PCBL,7
PNBGILTS,8
PNBHOUSING,7
PNCINFRA,5
PSPPROJECT,6
PVR,2
PFS,6
PTC,7
PAISALO,4
PANACEABIO,4
PARAGMILK,7
POLYMED,7
PILANIINVS,5
PRAJIND,6
POONAWALLA,4
POLYPLEX,7
PRAKASH,7
DIAMONDYD,5
PRINCEPIPE,7
PRSMJOHNSN,6
PRIVISCL,8
PGHL,7
PSB,1
PURVA,4
PUNJABCHEM,7
QUESS,6
QUICKHEAL,5
RHIM,5
RSYSTEMS,8
RITES,6
RPSGVENT,5
RADICO,7
RVNL,7
RAILTEL,8
RAIN,6
RAMCOIND,8
RALLIS,7
RKFORGE,8
RAMCOSYS,6
RANEHOLDIN,5
RATNAMANI,7
